gamma,strategy,paper_reported_spread,mean_profit,std_profit,mean_final_q,std_final_q,avg_spread,n_simultaneous_fills,n_negative_distance_events,n_lambda_dt_exceeds_one,delta_min,delta_max,inv_min,inv_max
0.01,inventory,1.3289085437337023,68.31209961578331,9.084767956875293,-0.098,5.056873339126457,1.3490085437337018,13010.0,0.0,0.0,0.360154271866851,1.004554271866851,-16.0,16.0
0.01,symmetric_full_A,1.3289085437337023,68.75950876598203,14.32966665750654,-0.17,8.567642879141527,1.349008543733702,12965.0,0.0,0.0,0.6645542718668511,0.6844542718668511,-26.0,28.0
0.01,symmetric_constant_B,1.3289085437337023,68.81271454429397,14.320224103784431,-0.185,8.57066107317465,1.3289085437336963,13348.0,0.0,0.0,0.6644542718668511,0.6644542718668511,-26.0,28.0
0.1,inventory,1.2907704227514234,65.57498571320941,6.561433680205439,-0.028,2.873233626329657,1.4917704227514228,10796.0,293.0,36.0,-0.4956147886242884,2.112385211375712,-10.0,9.0
0.1,symmetric_full_A,1.2907704227514234,68.79453789914318,13.969172560180317,-0.203,8.321841385417295,1.4917704227514232,10652.0,0.0,0.0,0.6463852113757116,0.8453852113757117,-27.0,27.0
0.1,symmetric_constant_B,1.2907704227514234,69.36060905367668,14.716865322092529,-0.336,8.846884839951935,1.2907704227514218,14252.0,0.0,0.0,0.6453852113757117,0.6453852113757117,-32.0,28.0
0.5,inventory,1.1507282898071234,48.408619297906576,5.94303548944003,0.1,2.0104830369943545,2.1557282898071226,5506.0,14193.0,5038.0,-1.6596358550964379,4.300364144903561,-6.0,7.0
0.5,symmetric_full_A,1.1507282898071234,58.163509813203724,11.75377405891171,0.34,7.277043036519391,2.155728289807123,5525.0,0.0,0.0,0.5803641449035609,1.5753641449035616,-22.0,24.0
0.5,symmetric_constant_B,1.1507282898071234,67.88773706866382,13.66529391095189,0.303,9.2562881259104,1.1507282898071203,17424.0,0.0,0.0,0.5753641449035617,0.5753641449035617,-28.0,28.0
